dwaCode	title	action	object	iwaCode	workActivityCode
4.A.4.a.5.I09.D09	Assist patients with daily activities.	Assist	Patients Daily Activities	4.A.4.a.5.I09	4.A.4.a.5
4.A.4.a.5.I10.D01	Assist motorists or pedestrians.	Assist	Motorists Pedestrians	4.A.4.a.5.I10	4.A.4.a.5
4.A.4.a.5.I10.D02	Greet customers, patrons, or visitors.	Greet	Customers Patrons Visitors	4.A.4.a.5.I10	4.A.4.a.5
4.A.4.a.5.I10.D03	Assist customers to ensure comfort or safety.	Assist	Customers Ensure Comfort Safety	4.A.4.a.5.I10	4.A.4.a.5
4.A.4.a.5.I10.D04	Assist patrons with entering or exiting vehicles or other forms of transportation.	Assist	Patrons Entering Exiting Vehicles	4.A.4.a.5.I10	4.A.4.a.5
4.A.4.a.5.I10.D05	Make travel, accommodations, or entertainment arrangements for others.	Make	Travel Accommodations Entertainment Arrangements	4.A.4.a.5.I10	4.A.4.a.5
4.A.4.a.5.I10.D06	Assist passengers during vehicle boarding.	Assist	Passengers During Vehicle Boarding	4.A.4.a.5.I10	4.A.4.a.5
4.A.4.a.5.I10.D07	Help patrons use library or archival resources.	Help	Patrons Use Library Archival	4.A.4.a.5.I10	4.A.4.a.5
4.A.4.a.5.I10.D08	Assist customers with seating arrangements.	Assist	Customers Seating Arrangements	4.A.4.a.5.I10	4.A.4.a.5
4.A.4.a.5.I10.D09	Arrange services or reservations for patrons.	Arrange	Services Reservations Patrons	4.A.4.a.5.I10	4.A.4.a.5
4.A.4.a.5.I10.D10	Assist customers with product selection.	Assist	Customers Product Selection	4.A.4.a.5.I10	4.A.4.a.5
4.A.4.a.5.I11.D01	Assist practitioners to perform medical procedures.	Assist	Practitioners Perform Medical Procedures	4.A.4.a.5.I11	4.A.4.a.5
4.A.4.a.5.I11.D02	Hold patients to ensure proper positioning or safety.	Hold	Patients Ensure Proper Positioning	4.A.4.a.5.I11	4.A.4.a.5
4.A.4.a.5.I11.D03	Adjust positions of patients on beds or tables.	Adjust	Positions Patients Beds Tables	4.A.4.a.5.I11	4.A.4.a.5
4.A.4.a.5.I11.D04	Position patients for treatment or examination.	Position	Patients Treatment Examination	4.A.4.a.5.I11	4.A.4.a.5
4.A.4.a.5.I11.D05	Assist healthcare practitioners during examinations or treatments.	Assist	Healthcare Practitioners During Examinations	4.A.4.a.5.I11	4.A.4.a.5
4.A.4.a.5.I11.D06	Assist healthcare practitioners during surgery.	Assist	Healthcare Practitioners During Surgery	4.A.4.a.5.I11	4.A.4.a.5
4.A.4.a.5.I11.D07	Prepare patients physically for medical procedures.	Prepare	Patients Physically Medical Procedures	4.A.4.a.5.I11	4.A.4.a.5
4.A.4.a.5.I11.D08	Maintain sterile operative fields.	Maintain	Sterile Operative Fields	4.A.4.a.5.I11	4.A.4.a.5
4.A.4.a.5.I12.D01	Care for patients with mental illnesses.	Care	Patients Mental Illnesses	4.A.4.a.5.I12	4.A.4.a.5
4.A.4.a.5.I12.D02	Treat acute illnesses, infections, or injuries.	Treat	Acute Illnesses Infections Injuries	4.A.4.a.5.I12	4.A.4.a.5
4.A.4.a.5.I12.D03	Operate on patients to treat conditions.	Operate	Patients Treat Conditions	4.A.4.a.5.I12	4.A.4.a.5
4.A.4.a.5.I12.D04	Treat dental problems or diseases.	Treat	Dental Problems Diseases	4.A.4.a.5.I12	4.A.4.a.5
4.A.4.a.5.I12.D05	Treat animal injuries or illnesses.	Treat	Animal Injuries Illnesses	4.A.4.a.5.I12	4.A.4.a.5
4.A.4.a.5.I12.D06	Administer cancer treatments.	Administer	Cancer Treatments	4.A.4.a.5.I12	4.A.4.a.5
4.A.4.a.5.I12.D07	Treat chronic diseases or disorders.	Treat	Chronic Diseases Disorders	4.A.4.a.5.I12	4.A.4.a.5
4.A.4.a.5.I12.D08	Treat patients using alternative medical procedures.	Treat	Patients Using Alternative Medical	4.A.4.a.5.I12	4.A.4.a.5
4.A.4.a.6.I01.D01	Advocate for individual or community needs.	Advocate	Individual Community Needs	4.A.4.a.6.I01	4.A.4.a.6
4.A.4.a.6.I02.D01	Merchandise healthcare products or services.	Merchandise	Healthcare Products Services	4.A.4.a.6.I02	4.A.4.a.6
4.A.4.a.6.I02.D02	Sell agricultural products.	Sell	Agricultural Products	4.A.4.a.6.I02	4.A.4.a.6
4.A.4.a.6.I02.D03	Customize financial products or services to meet customer needs.	Customize	Financial Products Services Meet	4.A.4.a.6.I02	4.A.4.a.6
4.A.4.a.6.I02.D04	Contract real estate to clients.	Contract	Real Estate Clients	4.A.4.a.6.I02	4.A.4.a.6
4.A.4.a.6.I02.D05	Sell products or services.	Sell	Products Services	4.A.4.a.6.I02	4.A.4.a.6
4.A.4.a.6.I02.D06	Customize energy products or services to meet customer needs.	Customize	Energy Products Services Meet	4.A.4.a.6.I02	4.A.4.a.6
4.A.4.a.6.I03.D01	Perform marketing activities.	Perform	Marketing Activities	4.A.4.a.6.I03	4.A.4.a.6
4.A.4.a.6.I03.D02	Demonstrate products to consumers.	Demonstrate	Products Consumers	4.A.4.a.6.I03	4.A.4.a.6
4.A.4.a.6.I03.D03	Promote environmental sustainability or conservation initiatives.	Promote	Environmental Sustainability Conservation Initiatives	4.A.4.a.6.I03	4.A.4.a.6
4.A.4.a.6.I03.D04	Market products, services, or events.	Market	Products Services Events	4.A.4.a.6.I03	4.A.4.a.6
4.A.4.a.6.I03.D05	Contact current or potential customers to promote products or services.	Contact	Current Potential Customers Promote	4.A.4.a.6.I03	4.A.4.a.6
4.A.4.a.6.I03.D06	Promote educational institutions or programs.	Promote	Educational Institutions Programs	4.A.4.a.6.I03	4.A.4.a.6
4.A.4.a.6.I03.D07	Deliver promotional presentations to current or prospective customers.	Deliver	Promotional Presentations Current Prospective	4.A.4.a.6.I03	4.A.4.a.6
4.A.4.a.6.I03.D08	Promote agricultural or hunting activities.	Promote	Agricultural Hunting Activities	4.A.4.a.6.I03	4.A.4.a.6
4.A.4.a.6.I03.D09	Distribute promotional literature or samples to customers.	Distribute	Promotional Literature Samples Customers	4.A.4.a.6.I03	4.A.4.a.6
4.A.4.a.6.I03.D10	Promote products, activities, or organizations.	Promote	Products Activities Organizations	4.A.4.a.6.I03	4.A.4.a.6
4.A.4.a.6.I03.D11	Model cosmetics, clothing, or accessories.	Model	Cosmetics Clothing Accessories	4.A.4.a.6.I03	4.A.4.a.6
4.A.4.a.6.I03.D12	Promote products, services, or programs.	Promote	Products Services Programs	4.A.4.a.6.I03	4.A.4.a.6
4.A.4.a.7.I01.D01	Resolve interpersonal conflicts.	Resolve	Interpersonal Conflicts	4.A.4.a.7.I01	4.A.4.a.7
4.A.4.a.7.I01.D02	Arbitrate disputes between parties to resolve legal conflicts.	Arbitrate	Disputes Between Parties Resolve	4.A.4.a.7.I01	4.A.4.a.7
4.A.4.a.7.I01.D03	Mediate disputes.	Mediate	Disputes	4.A.4.a.7.I01	4.A.4.a.7
4.A.4.a.7.I02.D01	Negotiate sales or lease agreements for products or services.	Negotiate	Sales Lease Agreements Products	4.A.4.a.7.I02	4.A.4.a.7
4.A.4.a.7.I02.D02	Arrange collective bargaining agreements.	Arrange	Collective Bargaining Agreements	4.A.4.a.7.I02	4.A.4.a.7
4.A.4.a.7.I02.D03	Negotiate labor disputes.	Negotiate	Labor Disputes	4.A.4.a.7.I02	4.A.4.a.7
4.A.4.a.7.I02.D04	Negotiate contracts for transportation, distribution, or logistics services.	Negotiate	Contracts Transportation Distribution Logistics	4.A.4.a.7.I02	4.A.4.a.7
4.A.4.a.7.I02.D05	Negotiate purchases or contracts.	Negotiate	Purchases Contracts	4.A.4.a.7.I02	4.A.4.a.7
4.A.4.a.7.I02.D06	Negotiate financial arrangements.	Negotiate	Financial Arrangements	4.A.4.a.7.I02	4.A.4.a.7
4.A.4.a.7.I02.D07	Negotiate prices or other sales terms.	Negotiate	Prices Sales Terms	4.A.4.a.7.I02	4.A.4.a.7
4.A.4.a.7.I02.D08	Negotiate contracts for environmental remediation, green energy, or renewable resources.	Negotiate	Contracts Environmental Remediation Green	4.A.4.a.7.I02	4.A.4.a.7
4.A.4.a.7.I02.D09	Negotiate agreements to resolve disputes.	Negotiate	Agreements Resolve Disputes	4.A.4.a.7.I02	4.A.4.a.7
4.A.4.a.7.I02.D10	Negotiate contracts with clients or service providers.	Negotiate	Contracts Clients Service Providers	4.A.4.a.7.I02	4.A.4.a.7
4.A.4.a.7.I02.D11	Negotiate project specifications.	Negotiate	Project Specifications	4.A.4.a.7.I02	4.A.4.a.7
4.A.4.a.7.I02.D12	Negotiate for services.	Negotiate	Services	4.A.4.a.7.I02	4.A.4.a.7
4.A.4.a.7.I03.D01	Resolve employee or contractor problems.	Resolve	Employee Contractor Problems	4.A.4.a.7.I03	4.A.4.a.7
4.A.4.a.7.I03.D02	Resolve operational performance problems.	Resolve	Operational Performance Problems	4.A.4.a.7.I03	4.A.4.a.7
4.A.4.a.7.I03.D03	Resolve personnel problems.	Resolve	Personnel Problems	4.A.4.a.7.I03	4.A.4.a.7
